date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-05-31,2713297,8,33,8,18,0,0,2,4,1,1,2,13,0.0,0
2021-06-23,2716611,1,1,1,1,0,0,1,1,1,1,1,4,0.0,0
2021-05-15,2636252,1,154,2,17,0,0,1,1,1,1,1,1,0.0,0
2021-07-25,3203285,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-06-10,2799707,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-24,3196180,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-13,2820237,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-26,2686266,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-16,2336756,1,10,1,4,0,0,1,1,1,1,1,112,999.0,0
2021-07-16,245595,2,13,2,6,0,0,1,1,1,1,1,4,0.0,0
2021-06-14,2825157,1,12,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-31,3258220,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-31,3259439,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-10,777511,1,10,1,4,0,0,1,1,1,1,1,11,0.0,0
2021-07-18,3134538,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-05-18,2649557,2,7,2,4,0,0,1,1,1,1,1,5,0.0,0
2021-07-08,3036788,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-04,2821777,1,10,1,4,0,0,1,1,1,1,1,25,0.0,0
2021-07-13,3089854,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-04,2993953,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-10,2778454,1,7,2,3,0,1,1,1,1,1,1,9,0.0,0
2021-07-21,3168347,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-07-22,2627577,2,16,2,7,0,0,1,1,1,1,1,11,0.0,0
2021-06-28,2940518,1,105,1,14,0,0,1,1,1,1,1,1,0.0,0
2021-05-06,2593119,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-05-27,499136,1,6,1,3,0,0,1,1,1,1,1,19,0.0,0
2021-05-20,2659938,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-30,978137,3,18,4,7,0,2,1,2,1,1,1,9,1998.0,0
2021-07-11,3072607,1,1,1,1,0,0,1,1,1,1,1,2,0.0,0
2021-06-10,2791372,1,1,1,0,0,0,1,1,1,1,1,1,0.0,0
2021-06-08,2780796,1,1,1,0,0,1,1,1,1,1,1,1,0.0,0
