date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-06-23,1295300,1,12,3,4,1,1,1,1,1,1,1,6,999.0,1
2021-07-25,3092827,3,22,4,8,1,1,1,1,1,1,1,36,6993.0,1
2021-07-28,3223650,1,13,4,4,1,2,1,1,1,1,1,7,2498.0,1
2021-06-24,2878805,1,3,3,1,1,0,1,1,1,1,1,4,999.0,1
2021-05-22,2668267,2,17,5,6,1,3,2,1,1,1,1,9,1519.0,1
2021-07-25,313862,2,9,4,3,2,0,1,1,1,2,1,3,999.0,1
2021-05-16,2641811,2,2,2,0,2,0,1,1,1,1,1,4,2897.0,1
2021-05-12,2625875,2,15,4,6,1,1,1,1,1,1,1,8,899.0,1
2021-06-29,2953991,1,1,1,0,1,0,1,1,1,1,1,2,699.0,1
2021-05-15,2639410,1,1,1,0,1,0,1,1,1,1,1,4,1469.0,1
2021-07-31,3254362,1,12,3,4,1,1,1,1,1,1,1,2,899.0,1
2021-07-23,931885,1,1130,3,47,1,1,1,1,1,1,1,3,1499.0,1
2021-07-06,3011697,4,27,9,8,3,4,2,3,2,1,1,13,5342.0,1
2021-07-18,537566,1,16,4,4,3,3,1,1,1,1,1,8,3396.0,1
2021-06-29,1712853,1,1,1,0,1,0,1,1,1,1,1,7,520.0,1
2021-06-08,2776755,1,1,1,0,1,0,1,1,1,1,1,8,1898.0,1
2021-06-02,1498285,1,16,3,4,3,3,1,1,1,1,1,5,2997.0,1
2021-05-17,2645311,1,13,3,4,1,0,1,1,1,1,1,4,1548.0,1
2021-07-02,2975759,1,1,1,0,1,0,1,1,1,1,1,1,1499.0,1
2021-07-08,3012326,1,10,1,4,0,0,1,1,1,1,1,8,3446.0,1
2021-07-09,852877,1,6,1,3,0,0,1,1,1,1,1,8,1399.0,1
2021-05-16,2634351,3,23,3,10,0,0,2,2,1,1,1,15,2398.0,1
2021-06-06,2761099,1,13,3,4,1,2,1,1,1,1,1,2,899.0,1
2021-07-05,3008939,1,11,2,4,1,0,1,1,1,1,1,2,899.0,1
2021-06-15,1676184,1,8,3,3,1,1,1,1,1,1,1,21,3897.0,1
2021-07-14,3090956,2,13,4,5,0,2,1,1,1,1,1,11,1998.0,1
2021-06-19,2860929,1,1,1,0,1,0,1,1,1,1,1,34,3517.0,1
2021-05-21,2663680,1,1,1,0,1,0,1,1,1,1,1,1,1700.0,1
2021-07-26,3207180,3,18,7,6,3,2,1,1,1,2,1,8,2467.0,1
2021-07-16,1091097,2,54,5,13,2,3,1,1,1,1,1,7,2847.0,1
